CPU_ALL,CPU Total raspberrypi,User%,Sys%,Wait%,Idle%,Steal%,Busy,CPUs
CPU_ALL,T0001,3.7,0.9,3.5,91.9,0.0,,4
CPU_ALL,T0002,3.5,1.3,1.0,94.3,0.0,,4
CPU_ALL,T0003,0.1,0.9,1.1,98.0,0.0,,4
CPU_ALL,T0004,0.1,0.5,1.1,98.4,0.0,,4
CPU_ALL,T0005,0.1,0.7,0.4,98.8,0.0,,4
CPU_ALL,T0006,0.8,1.2,3.5,94.5,0.0,,4
CPU_ALL,T0007,0.3,0.6,3.2,95.9,0.0,,4
CPU_ALL,T0008,0.2,1.0,2.1,96.7,0.0,,4
CPU_ALL,T0009,0.3,0.9,13.8,85.1,0.0,,4
CPU_ALL,T0010,1.2,1.2,13.0,84.7,0.0,,4
CPU_ALL,T0011,0.2,1.3,6.4,92.1,0.0,,4
CPU_ALL,T0012,0.1,1.2,2.5,96.2,0.0,,4
CPU_ALL,T0013,0.1,0.7,2.1,97.1,0.0,,4
CPU_ALL,T0014,1.2,1.8,13.8,83.3,0.0,,4
CPU_ALL,T0015,23.8,1.4,1.5,73.4,0.0,,4
CPU_ALL,T0016,82.4,2.1,0.1,15.4,0.0,,4
CPU_ALL,T0017,99.4,0.3,0.0,0.3,0.0,,4
CPU_ALL,T0018,90.7,3.1,0.0,6.1,0.0,,4
CPU_ALL,T0019,90.2,1.4,0.0,8.4,0.0,,4
CPU_ALL,T0020,89.9,2.1,0.1,7.9,0.0,,4
CPU_ALL,T0021,90.0,2.6,0.1,7.3,0.0,,4
CPU_ALL,T0022,90.8,2.1,0.3,6.8,0.0,,4
CPU_ALL,T0023,90.6,2.5,0.0,6.9,0.0,,4
CPU_ALL,T0024,94.7,3.8,0.1,1.5,0.0,,4
CPU_ALL,T0025,96.5,1.7,0.0,1.8,0.0,,4
CPU_ALL,T0026,98.1,0.5,0.0,1.3,0.0,,4
CPU_ALL,T0027,92.2,5.5,0.1,2.2,0.0,,4
CPU_ALL,T0028,81.5,1.1,13.8,3.7,0.0,,4
CPU_ALL,T0029,79.4,1.7,15.9,3.0,0.0,,4
CPU_ALL,T0030,82.0,2.6,11.0,4.4,0.0,,4
CPU_ALL,T0031,81.8,11.7,5.1,1.4,0.0,,4
CPU_ALL,T0032,75.9,4.5,17.3,2.2,0.0,,4
CPU_ALL,T0033,95.6,2.3,1.7,0.4,0.0,,4
CPU_ALL,T0034,94.3,0.8,3.7,1.2,0.0,,4
CPU_ALL,T0035,86.3,4.3,6.8,2.6,0.0,,4
CPU_ALL,T0036,78.0,2.1,14.6,5.4,0.0,,4
CPU_ALL,T0037,78.4,12.1,7.2,2.2,0.0,,4
CPU_ALL,T0038,93.1,2.1,4.0,0.9,0.0,,4
CPU_ALL,T0039,66.3,1.1,22.7,10.0,0.0,,4
CPU_ALL,T0040,53.7,3.9,19.7,22.7,0.0,,4
CPU_ALL,T0041,71.2,1.4,0.0,27.5,0.0,,4
CPU_ALL,T0042,26.3,0.9,0.1,72.8,0.0,,4
CPU_ALL,T0043,25.3,1.0,0.0,73.8,0.0,,4
CPU_ALL,T0044,27.1,2.5,0.0,70.4,0.0,,4
CPU_ALL,T0045,25.5,0.9,0.1,73.5,0.0,,4
CPU_ALL,T0046,24.8,0.8,0.0,74.4,0.0,,4
CPU_ALL,T0047,24.9,0.9,0.0,74.2,0.0,,4
CPU_ALL,T0048,24.8,0.5,0.0,74.6,0.0,,4
CPU_ALL,T0049,25.1,0.6,0.1,74.3,0.0,,4
CPU_ALL,T0050,25.2,0.9,0.1,73.9,0.0,,4
CPU_ALL,T0051,25.1,1.2,0.1,73.7,0.0,,4
CPU_ALL,T0052,24.7,0.9,0.0,74.4,0.0,,4
CPU_ALL,T0053,26.0,0.9,0.0,73.1,0.0,,4
CPU_ALL,T0054,28.1,2.0,0.0,70.0,0.0,,4
CPU_ALL,T0055,25.2,0.3,0.0,74.5,0.0,,4
CPU_ALL,T0056,25.0,1.2,0.1,73.7,0.0,,4
CPU_ALL,T0057,29.0,1.4,1.8,67.9,0.0,,4
CPU_ALL,T0058,31.4,1.8,0.3,66.5,0.0,,4
CPU_ALL,T0059,26.5,1.3,0.1,72.1,0.0,,4
CPU_ALL,T0060,26.1,1.2,0.0,72.8,0.0,,4
