DISKBUSY,Disk %Busy raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKREAD,Disk Read KB/s raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKWRITE,Disk Write KB/s raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKXFER,Disk transfers per second raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKBSIZE,Disk Block Size raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKBUSY,T0001,86.0,0.0,86.7
DISKREAD,T0001,31199.7,0.0,31199.7
DISKWRITE,T0001,73.1,0.0,73.1
DISKXFER,T0001,1598.9,0.0,1598.9
DISKBSIZE,T0001,19.6,0.0,19.6
DISKBUSY,T0002,84.0,0.0,85.2
DISKREAD,T0002,66296.0,0.0,66296.0
DISKWRITE,T0002,25.6,0.0,25.6
DISKXFER,T0002,626.6,0.0,626.6
DISKBSIZE,T0002,105.8,0.0,105.8
DISKBUSY,T0003,98.8,0.0,100.0
DISKREAD,T0003,81488.7,0.0,81488.7
DISKWRITE,T0003,313.5,0.0,313.5
DISKXFER,T0003,531.7,0.0,531.7
DISKBSIZE,T0003,153.9,0.0,153.9
DISKBUSY,T0004,99.0,0.0,99.8
DISKREAD,T0004,82635.6,0.0,82635.6
DISKWRITE,T0004,3.2,0.0,3.2
DISKXFER,T0004,497.3,0.0,497.3
DISKBSIZE,T0004,166.2,0.0,166.2
DISKBUSY,T0005,99.0,0.0,100.0
DISKREAD,T0005,82095.0,0.0,82095.0
DISKWRITE,T0005,3.2,0.0,3.2
DISKXFER,T0005,501.5,0.0,501.5
DISKBSIZE,T0005,163.7,0.0,163.7
DISKBUSY,T0006,99.2,0.0,100.0
DISKREAD,T0006,80755.0,0.0,80755.0
DISKWRITE,T0006,1126.1,0.0,1126.1
DISKXFER,T0006,356.5,0.0,356.5
DISKBSIZE,T0006,229.7,0.0,229.7
DISKBUSY,T0007,98.8,0.0,100.0
DISKREAD,T0007,83445.8,0.0,83445.8
DISKWRITE,T0007,288.8,0.0,288.8
DISKXFER,T0007,416.1,0.0,416.1
DISKBSIZE,T0007,201.2,0.0,201.2
DISKBUSY,T0008,99.0,0.0,99.8
DISKREAD,T0008,82144.6,0.0,82144.6
DISKWRITE,T0008,9.6,0.0,9.6
DISKXFER,T0008,686.4,0.0,686.4
DISKBSIZE,T0008,119.7,0.0,119.7
DISKBUSY,T0009,99.0,0.0,100.0
DISKREAD,T0009,51760.2,0.0,51760.2
DISKWRITE,T0009,4646.9,0.0,4646.9
DISKXFER,T0009,701.6,0.0,701.6
DISKBSIZE,T0009,80.4,0.0,80.4
DISKBUSY,T0010,98.6,0.0,99.6
DISKREAD,T0010,40710.0,0.0,40710.0
DISKWRITE,T0010,5279.5,0.0,5279.5
DISKXFER,T0010,1618.4,0.0,1618.4
DISKBSIZE,T0010,28.4,0.0,28.4
DISKBUSY,T0011,98.6,0.0,99.6
DISKREAD,T0011,55446.5,0.0,55446.5
DISKWRITE,T0011,2368.4,0.0,2368.4
DISKXFER,T0011,1692.7,0.0,1692.7
DISKBSIZE,T0011,34.2,0.0,34.2
DISKBUSY,T0012,98.9,0.0,99.5
DISKREAD,T0012,65384.6,0.0,65384.6
DISKWRITE,T0012,6.4,0.0,6.4
DISKXFER,T0012,1656.8,0.0,1656.8
DISKBSIZE,T0012,39.5,0.0,39.5
DISKBUSY,T0013,98.6,0.0,100.0
DISKREAD,T0013,64762.8,0.0,64762.8
DISKWRITE,T0013,25.6,0.0,25.6
DISKXFER,T0013,1569.8,0.0,1569.8
DISKBSIZE,T0013,41.3,0.0,41.3
DISKBUSY,T0014,76.4,0.0,76.8
DISKREAD,T0014,17359.5,0.0,17359.5
DISKWRITE,T0014,0.0,0.0,0.0
DISKXFER,T0014,453.9,0.0,453.9
DISKBSIZE,T0014,38.2,0.0,38.2
DISKBUSY,T0015,9.2,0.0,9.4
DISKREAD,T0015,1162.2,0.0,1162.2
DISKWRITE,T0015,22.4,0.0,22.4
DISKXFER,T0015,45.8,0.0,45.8
DISKBSIZE,T0015,25.9,0.0,25.9
DISKBUSY,T0016,0.6,0.0,0.6
DISKREAD,T0016,54.4,0.0,54.4
