MEM,Memory MB raspberrypi,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
MEM,T0001,16219.7,-0.0,-0.0,512.0,999.5,-0.0,-0.0,64.5,318.2,9417.0,5820.4,-1.0,48.2,33.1,7616.6
MEM,T0002,16219.7,-0.0,-0.0,512.0,193.0,-0.0,-0.0,64.5,318.1,9511.3,6436.7,-1.0,42.4,33.0,7095.5
MEM,T0003,16219.7,-0.0,-0.0,512.0,187.8,-0.0,-0.0,63.5,318.1,9533.3,6376.2,-1.0,31.7,31.8,7164.5
MEM,T0004,16219.7,-0.0,-0.0,512.0,193.2,-0.0,-0.0,63.5,318.1,9535.9,6779.8,-1.0,31.7,31.8,6763.5
MEM,T0005,16219.7,-0.0,-0.0,512.0,116.5,-0.0,-0.0,63.5,318.1,9610.2,7198.1,-1.0,31.6,31.8,6419.4
MEM,T0006,16219.7,-0.0,-0.0,512.0,295.6,-0.0,-0.0,57.5,316.3,9370.2,7622.8,-1.0,26.5,33.4,5757.9
MEM,T0007,16219.7,-0.0,-0.0,512.0,102.7,-0.0,-0.0,57.5,316.3,9545.0,7447.8,-1.0,26.5,33.4,6116.0
MEM,T0008,16219.7,-0.0,-0.0,512.0,50.4,-0.0,-0.0,57.5,316.3,9633.0,7316.8,-1.0,26.4,33.4,6335.2
MEM,T0009,16219.7,-0.0,-0.0,512.0,106.1,-0.0,-0.0,31.6,312.4,9603.7,7943.0,-1.0,25.4,37.6,5659.5
MEM,T0010,16219.7,-0.0,-0.0,512.0,190.7,-0.0,-0.0,8.7,310.0,9476.3,8182.4,-1.0,12.0,33.1,5255.6
MEM,T0011,16219.7,-0.0,-0.0,512.0,74.9,-0.0,-0.0,0.0,306.3,9559.4,8283.4,-1.0,10.9,38.5,5234.0
MEM,T0012,16219.7,-0.0,-0.0,512.0,144.3,-0.0,-0.0,0.0,306.3,9523.2,8022.8,-1.0,10.8,38.5,5439.6
MEM,T0013,16219.7,-0.0,-0.0,512.0,68.5,-0.0,-0.0,0.0,306.3,9622.4,8337.2,-1.0,10.9,38.5,5222.7
MEM,T0014,16219.7,-0.0,-0.0,512.0,268.4,-0.0,-0.0,0.2,306.5,9157.7,7414.2,-1.0,6.7,38.5,5929.6
MEM,T0015,16219.7,-0.0,-0.0,512.0,318.7,-0.0,-0.0,0.2,310.0,9139.6,7430.6,-1.0,6.8,38.6,5897.8
MEM,T0016,16219.7,-0.0,-0.0,512.0,358.6,-0.0,-0.0,0.2,308.1,9138.0,7446.3,-1.0,6.8,38.6,5897.8
MEM,T0017,16219.7,-0.0,-0.0,512.0,400.9,-0.0,-0.0,0.2,307.5,9137.6,7446.5,-1.0,6.8,38.6,5897.8
MEM,T0018,16219.7,-0.0,-0.0,512.0,208.6,-0.0,-0.0,0.2,309.1,9093.3,7663.1,-1.0,6.9,38.6,5834.2
MEM,T0019,16219.7,-0.0,-0.0,512.0,232.9,-0.0,-0.0,0.2,309.1,8850.5,7530.5,-1.0,5.5,38.6,5961.0
MEM,T0020,16219.7,-0.0,-0.0,512.0,183.0,-0.0,-0.0,0.2,309.1,8635.1,6306.4,-1.0,5.0,38.6,7218.9
MEM,T0021,16219.7,-0.0,-0.0,512.0,178.4,-0.0,-0.0,0.2,309.1,8472.3,6486.4,-1.0,5.1,38.6,7050.3
MEM,T0022,16219.7,-0.0,-0.0,512.0,172.3,-0.0,-0.0,0.2,309.2,8295.7,6665.1,-1.0,5.0,38.6,6854.8
MEM,T0023,16219.7,-0.0,-0.0,512.0,1202.0,-0.0,-0.0,0.2,309.2,8265.9,5745.7,-1.0,5.1,38.6,6744.2
MEM,T0024,16219.7,-0.0,-0.0,512.0,1246.6,-0.0,-0.0,0.2,309.2,8265.9,5745.7,-1.0,5.1,38.6,6744.2
MEM,T0025,16219.7,-0.0,-0.0,512.0,1273.1,-0.0,-0.0,0.2,306.2,8262.9,5882.0,-1.0,5.1,38.6,6607.5
MEM,T0026,16219.7,-0.0,-0.0,512.0,1286.2,-0.0,-0.0,0.2,306.2,8263.0,5882.3,-1.0,5.1,38.6,6607.5
MEM,T0027,16219.7,-0.0,-0.0,512.0,1284.3,-0.0,-0.0,0.2,306.2,8263.0,5907.6,-1.0,5.2,38.6,6582.0
MEM,T0028,16219.7,-0.0,-0.0,512.0,1207.2,-0.0,-0.0,0.2,306.2,8308.8,6055.1,-1.0,5.2,38.6,6519.9
MEM,T0029,16219.7,-0.0,-0.0,512.0,1116.5,-0.0,-0.0,0.2,306.8,8370.5,6194.7,-1.0,5.2,38.6,6441.8
MEM,T0030,16219.7,-0.0,-0.0,512.0,1038.5,-0.0,-0.0,5.7,317.8,8428.5,6276.5,-1.0,5.3,36.8,6418.6
MEM,T0031,16219.7,-0.0,-0.0,512.0,5547.3,-0.0,-0.0,236.9,138.2,8269.7,4323.1,-1.0,8.4,24.5,4025.3
MEM,T0032,16219.7,-0.0,-0.0,512.0,5553.4,-0.0,-0.0,237.3,136.5,8338.1,4401.5,-1.0,9.0,22.6,4014.2
MEM,T0033,16219.7,-0.0,-0.0,512.0,5560.5,-0.0,-0.0,237.3,137.2,8345.8,4460.4,-1.0,9.0,22.6,3963.2
MEM,T0034,16219.7,-0.0,-0.0,512.0,5571.5,-0.0,-0.0,237.4,138.2,8361.3,4475.9,-1.0,9.3,22.6,3963.6
MEM,T0035,16219.7,-0.0,-0.0,512.0,5554.8,-0.0,-0.0,237.4,138.2,8389.3,4503.6,-1.0,9.3,22.6,3963.6
MEM,T0036,16219.7,-0.0,-0.0,512.0,5488.5,-0.0,-0.0,237.4,138.3,8452.9,4567.0,-1.0,9.4,22.6,3963.7
MEM,T0037,16219.7,-0.0,-0.0,512.0,5468.6,-0.0,-0.0,237.5,133.7,8475.7,4637.4,-1.0,9.8,22.6,3893.0
MEM,T0038,16219.7,-0.0,-0.0,512.0,5459.4,-0.0,-0.0,237.5,133.6,8492.3,4660.5,-1.0,9.9,22.6,3886.6
MEM,T0039,16219.7,-0.0,-0.0,512.0,5344.4,-0.0,-0.0,237.5,134.5,8582.8,4751.1,-1.0,9.9,22.6,3886.7
MEM,T0040,16219.7,-0.0,-0.0,512.0,5206.3,-0.0,-0.0,237.5,133.9,8678.5,4851.1,-1.0,10.0,22.6,3886.7
MEM,T0041,16219.7,-0.0,-0.0,512.0,5187.8,-0.0,-0.0,237.5,134.9,8679.5,4851.5,-1.0,10.0,22.6,3886.8
MEM,T0042,16219.7,-0.0,-0.0,512.0,5237.9,-0.0,-0.0,237.5,132.9,8677.5,4851.6,-1.0,10.0,22.6,3886.8
MEM,T0043,16219.7,-0.0,-0.0,512.0,5262.1,-0.0,-0.0,237.5,132.9,8677.5,4851.6,-1.0,10.0,22.6,3886.8
MEM,T0044,16219.7,-0.0,-0.0,512.0,5273.8,-0.0,-0.0,237.5,134.0,8678.7,4851.9,-1.0,10.0,22.6,3886.8
