PROC,Processes raspberrypi,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
PROC,T0001,4,0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
PROC,T0002,1,0,1875.1,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0003,1,0,1439.3,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0004,1,0,1334.1,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0005,1,0,1332.1,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0006,1,2,1177.1,-1.0,-1.0,-1.0,2.4,-1.0,-1.0,-1.0
PROC,T0007,1,0,1361.8,-1.0,-1.0,-1.0,4.4,-1.0,-1.0,-1.0
PROC,T0008,1,0,2022.5,-1.0,-1.0,-1.0,0.4,-1.0,-1.0,-1.0
PROC,T0009,1,2,2578.2,-1.0,-1.0,-1.0,0.6,-1.0,-1.0,-1.0
PROC,T0010,1,0,4397.9,-1.0,-1.0,-1.0,0.6,-1.0,-1.0,-1.0
PROC,T0011,1,0,4273.9,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0012,1,0,3993.2,-1.0,-1.0,-1.0,0.4,-1.0,-1.0,-1.0
PROC,T0013,1,0,3595.8,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0014,1,0,2221.3,-1.0,-1.0,-1.0,0.8,-1.0,-1.0,-1.0
PROC,T0015,2,0,11974.9,-1.0,-1.0,-1.0,1.4,-1.0,-1.0,-1.0
PROC,T0016,5,0,5417.6,-1.0,-1.0,-1.0,0.8,-1.0,-1.0,-1.0
PROC,T0017,5,0,1819.9,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0018,6,0,6271.7,-1.0,-1.0,-1.0,0.6,-1.0,-1.0,-1.0
PROC,T0019,6,0,8362.5,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0020,6,0,7899.7,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0021,6,0,8436.7,-1.0,-1.0,-1.0,1.4,-1.0,-1.0,-1.0
PROC,T0022,4,0,8371.3,-1.0,-1.0,-1.0,5.6,-1.0,-1.0,-1.0
PROC,T0023,5,0,7390.3,-1.0,-1.0,-1.0,0.4,-1.0,-1.0,-1.0
PROC,T0024,6,0,1330.0,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0025,5,0,1342.3,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0026,8,0,1301.0,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0027,6,0,1466.8,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0028,1,4,4342.4,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0029,5,0,4996.7,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0030,7,0,6451.0,-1.0,-1.0,-1.0,0.4,-1.0,-1.0,-1.0
PROC,T0031,5,1,7934.2,-1.0,-1.0,-1.0,7.4,-1.0,-1.0,-1.0
PROC,T0032,5,0,4260.0,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0033,5,0,1792.9,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0034,5,0,2831.1,-1.0,-1.0,-1.0,1.4,-1.0,-1.0,-1.0
PROC,T0035,6,1,4466.3,-1.0,-1.0,-1.0,0.6,-1.0,-1.0,-1.0
PROC,T0036,4,3,6364.9,-1.0,-1.0,-1.0,0.4,-1.0,-1.0,-1.0
PROC,T0037,5,0,4003.2,-1.0,-1.0,-1.0,0.6,-1.0,-1.0,-1.0
PROC,T0038,6,0,3112.4,-1.0,-1.0,-1.0,0.4,-1.0,-1.0,-1.0
PROC,T0039,1,4,6129.0,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0040,3,0,8332.1,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0041,1,0,4019.9,-1.0,-1.0,-1.0,0.4,-1.0,-1.0,-1.0
PROC,T0042,2,0,14875.6,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0043,2,0,12748.7,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0044,2,0,9202.3,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0045,3,0,29002.1,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0046,3,0,30282.7,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0047,2,0,14796.1,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0048,2,0,16102.5,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0049,2,0,17632.3,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0050,2,0,18393.6,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0051,2,0,29345.4,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0052,2,0,24824.4,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0053,2,0,18886.5,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0054,2,0,16110.2,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0055,2,0,6577.4,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0056,2,0,13906.7,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0057,2,0,21460.2,-1.0,-1.0,-1.0,3.6,-1.0,-1.0,-1.0
PROC,T0058,5,0,15471.2,-1.0,-1.0,-1.0,4.8,-1.0,-1.0,-1.0
PROC,T0059,5,0,18549.7,-1.0,-1.0,-1.0,0.4,-1.0,-1.0,-1.0
PROC,T0060,2,0,13021.9,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
