VM,Paging and Virtual Memory,nr_dirty,nr_writeback,nr_unstable,nr_page_table_pages,nr_mapped,nr_slab_reclaimable,pgpgin,pgpgout,pswpin,pswpout,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,pginodesteal,slabs_scanned,kswapd_steal,kswapd_inodesteal,pageoutrun,allocstall,pgrotated,pgalloc_high,pgalloc_normal,pgalloc_dma,pgrefill_high,pgrefill_normal,pgrefill_dma,pgsteal_high,pgsteal_normal,pgsteal_dma,pgscan_kswapd_high,pgscan_kswapd_normal,pgscan_kswapd_dma,pgscan_direct_high,pgscan_direct_normal,pgscan_direct_dma
VM,T0001,9,0,0,5863,145498,13220,192932,452,1,0,4023,0,0,40482,462,0,0,0,0,1,0,0,0,15090,4836,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0002,17,0,0,5902,169346,13219,332072,128,0,0,17057,14,0,53293,64,0,640,0,0,13,0,0,0,50365,16790,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0003,19,0,0,5915,194735,13137,407520,1580,0,98,25657,21,0,8569,200,0,14230,0,1351,13,0,98,0,19124,6379,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0004,24,0,0,5929,222581,13128,413280,4,0,0,26093,0,0,8320,256,0,1067,0,100,12,0,0,0,19405,6459,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0005,27,0,0,5942,249113,13118,410576,16,0,0,21748,154,0,7292,24,0,2304,0,155,11,0,0,0,19276,6428,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0006,31,63,0,6179,273750,13101,403928,6640,0,413,41709,8,0,8376,52,0,2304,0,359,37,0,348,0,17364,9313,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0007,14,3,0,5997,300515,13080,416992,484,0,0,16406,2,0,10108,126,0,1408,0,175,9,0,65,0,19470,7861,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0008,28,0,0,6014,333823,13068,411088,20,0,0,20292,0,0,10729,793,0,1408,0,202,30,0,0,0,14819,10940,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0009,20,227,0,6023,351997,13054,258592,26836,0,1667,19319,7,0,6113,275,0,3200,0,188,23,0,1392,0,13312,2878,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0010,11,0,0,6034,374452,13062,203520,22824,0,1408,23525,173,0,8865,1170,0,2304,0,0,15,0,1558,0,9716,3244,0,0,0,0,0,0,0,0,0,0,0,0
