DISKBUSY,Disk %Busy raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKREAD,Disk Read KB/s raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKWRITE,Disk Write KB/s raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKXFER,Disk transfers per second raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKBSIZE,Disk Block Size raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKBUSY,T0001,0.0,0.0,0.0
DISKREAD,T0001,0.0,0.0,0.0
DISKWRITE,T0001,3.7,0.0,3.7
DISKXFER,T0001,0.9,0.0,0.9
DISKBSIZE,T0001,4.0,0.0,4.0
DISKBUSY,T0002,0.4,0.0,0.6
DISKREAD,T0002,0.0,0.0,0.0
DISKWRITE,T0002,51.2,0.0,51.2
DISKXFER,T0002,3.0,0.0,3.0
DISKBSIZE,T0002,17.1,0.0,17.1
DISKBUSY,T0003,0.0,0.0,0.0
DISKREAD,T0003,0.0,0.0,0.0
DISKWRITE,T0003,0.0,0.0,0.0
DISKXFER,T0003,0.0,0.0,0.0
DISKBSIZE,T0003,0.0,0.0,0.0
DISKBUSY,T0004,0.0,0.0,0.0
DISKREAD,T0004,0.0,0.0,0.0
DISKWRITE,T0004,3.2,0.0,3.2
DISKXFER,T0004,0.4,0.0,0.4
DISKBSIZE,T0004,8.0,0.0,8.0
DISKBUSY,T0005,0.2,0.0,0.2
DISKREAD,T0005,0.0,0.0,0.0
DISKWRITE,T0005,6.4,0.0,6.4
DISKXFER,T0005,0.8,0.0,0.8
DISKBSIZE,T0005,8.0,0.0,8.0
DISKBUSY,T0006,0.0,0.0,0.0
DISKREAD,T0006,0.0,0.0,0.0
DISKWRITE,T0006,0.0,0.0,0.0
DISKXFER,T0006,0.0,0.0,0.0
DISKBSIZE,T0006,0.0,0.0,0.0
DISKBUSY,T0007,0.2,0.0,0.2
DISKREAD,T0007,0.0,0.0,0.0
DISKWRITE,T0007,17.6,0.0,17.6
DISKXFER,T0007,1.0,0.0,1.0
DISKBSIZE,T0007,17.6,0.0,17.6
DISKBUSY,T0008,0.8,0.0,0.8
DISKREAD,T0008,0.0,0.0,0.0
DISKWRITE,T0008,104.0,0.0,104.0
DISKXFER,T0008,6.2,0.0,6.2
DISKBSIZE,T0008,16.8,0.0,16.8
DISKBUSY,T0009,0.6,0.0,0.6
DISKREAD,T0009,0.0,0.0,0.0
DISKWRITE,T0009,30.4,0.0,30.4
DISKXFER,T0009,3.8,0.0,3.8
DISKBSIZE,T0009,8.0,0.0,8.0
DISKBUSY,T0010,0.8,0.0,0.8
DISKREAD,T0010,0.0,0.0,0.0
DISKWRITE,T0010,93.6,0.0,93.6
DISKXFER,T0010,4.2,0.0,4.2
DISKBSIZE,T0010,22.3,0.0,22.3
DISKBUSY,T0011,0.0,0.0,0.0
DISKREAD,T0011,0.0,0.0,0.0
DISKWRITE,T0011,11.2,0.0,11.2
DISKXFER,T0011,0.4,0.0,0.4
DISKBSIZE,T0011,28.0,0.0,28.0
DISKBUSY,T0012,0.0,0.0,0.0
DISKREAD,T0012,0.0,0.0,0.0
DISKWRITE,T0012,0.0,0.0,0.0
DISKXFER,T0012,0.0,0.0,0.0
DISKBSIZE,T0012,0.0,0.0,0.0
DISKBUSY,T0013,0.0,0.0,0.0
DISKREAD,T0013,0.0,0.0,0.0
DISKWRITE,T0013,8.8,0.0,8.8
DISKXFER,T0013,0.6,0.0,0.6
DISKBSIZE,T0013,14.7,0.0,14.7
DISKBUSY,T0014,0.0,0.0,0.0
DISKREAD,T0014,0.0,0.0,0.0
DISKWRITE,T0014,4.8,0.0,4.8
DISKXFER,T0014,0.6,0.0,0.6
DISKBSIZE,T0014,8.0,0.0,8.0
DISKBUSY,T0015,0.6,0.0,0.6
DISKREAD,T0015,0.0,0.0,0.0
DISKWRITE,T0015,36.0,0.0,36.0
DISKXFER,T0015,3.6,0.0,3.6
DISKBSIZE,T0015,10.0,0.0,10.0
DISKBUSY,T0016,1.2,0.0,1.2
DISKREAD,T0016,0.0,0.0,0.0
DISKWRITE,T0016,111.9,0.0,111.9
DISKXFER,T0016,6.4,0.0,6.4
