MEM,Memory MB raspberrypi,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
MEM,T0001,16219.7,-0.0,-0.0,512.0,5249.7,-0.0,-0.0,272.8,184.2,9104.5,4696.7,-1.0,107.1,28.9,5754.7
MEM,T0002,16219.7,-0.0,-0.0,512.0,3948.0,-0.0,-0.0,272.8,191.3,9111.6,5535.9,-1.0,107.1,28.9,5540.5
MEM,T0003,16219.7,-0.0,-0.0,512.0,3957.0,-0.0,-0.0,272.8,188.8,9109.2,5535.9,-1.0,107.1,28.9,5540.5
MEM,T0004,16219.7,-0.0,-0.0,512.0,3964.6,-0.0,-0.0,272.8,188.8,9109.2,5536.0,-1.0,107.1,28.9,5540.5
MEM,T0005,16219.7,-0.0,-0.0,512.0,3980.5,-0.0,-0.0,272.8,188.8,9109.2,5536.4,-1.0,107.1,28.9,5540.5
MEM,T0006,16219.7,-0.0,-0.0,512.0,3995.2,-0.0,-0.0,272.8,188.8,9109.2,5536.4,-1.0,107.1,28.9,5540.5
MEM,T0007,16219.7,-0.0,-0.0,512.0,4006.3,-0.0,-0.0,272.8,188.8,9109.2,5536.5,-1.0,107.1,28.9,5540.5
MEM,T0008,16219.7,-0.0,-0.0,512.0,4012.0,-0.0,-0.0,272.8,188.8,9109.2,5536.4,-1.0,107.1,28.9,5540.5
MEM,T0009,16219.7,-0.0,-0.0,512.0,4008.4,-0.0,-0.0,272.8,188.8,9109.2,5538.4,-1.0,107.1,28.9,5540.5
MEM,T0010,16219.7,-0.0,-0.0,512.0,4011.8,-0.0,-0.0,272.8,188.8,9109.2,5538.4,-1.0,107.1,28.9,5540.5
MEM,T0011,16219.7,-0.0,-0.0,512.0,4011.6,-0.0,-0.0,272.8,188.8,9109.3,5538.4,-1.0,107.1,28.9,5540.5
MEM,T0012,16219.7,-0.0,-0.0,512.0,4015.6,-0.0,-0.0,272.8,188.8,9109.3,5538.4,-1.0,107.1,28.9,5540.5
MEM,T0013,16219.7,-0.0,-0.0,512.0,4018.7,-0.0,-0.0,272.8,188.8,9109.3,5538.4,-1.0,107.1,28.9,5540.5
MEM,T0014,16219.7,-0.0,-0.0,512.0,4011.9,-0.0,-0.0,272.8,188.8,9109.3,5541.9,-1.0,107.1,28.9,5540.5
MEM,T0015,16219.7,-0.0,-0.0,512.0,4003.4,-0.0,-0.0,272.8,188.8,9109.2,5540.6,-1.0,107.1,28.9,5540.5
MEM,T0016,16219.7,-0.0,-0.0,512.0,4009.3,-0.0,-0.0,272.8,188.8,9109.2,5540.6,-1.0,107.1,28.9,5540.5
MEM,T0017,16219.7,-0.0,-0.0,512.0,4012.3,-0.0,-0.0,272.8,188.8,9109.2,5539.9,-1.0,107.1,28.9,5540.5
MEM,T0018,16219.7,-0.0,-0.0,512.0,4014.9,-0.0,-0.0,272.8,188.8,9109.2,5537.2,-1.0,107.1,28.9,5540.5
MEM,T0019,16219.7,-0.0,-0.0,512.0,4018.7,-0.0,-0.0,272.8,188.8,9109.2,5537.2,-1.0,107.1,28.9,5540.5
MEM,T0020,16219.7,-0.0,-0.0,512.0,4018.7,-0.0,-0.0,272.8,188.8,9109.2,5537.3,-1.0,107.1,28.9,5540.5
MEM,T0021,16219.7,-0.0,-0.0,512.0,4020.0,-0.0,-0.0,272.8,188.8,9109.3,5537.4,-1.0,107.1,28.9,5540.5
MEM,T0022,16219.7,-0.0,-0.0,512.0,4020.2,-0.0,-0.0,272.8,188.8,9109.3,5537.3,-1.0,107.1,28.9,5540.5
MEM,T0023,16219.7,-0.0,-0.0,512.0,4016.0,-0.0,-0.0,272.8,188.8,9109.3,5537.3,-1.0,107.1,28.9,5540.5
MEM,T0024,16219.7,-0.0,-0.0,512.0,4015.3,-0.0,-0.0,272.8,188.8,9109.3,5537.3,-1.0,107.1,28.9,5540.5
MEM,T0025,16219.7,-0.0,-0.0,512.0,3988.0,-0.0,-0.0,272.8,188.8,9109.6,5565.7,-1.0,107.1,28.9,5540.9
MEM,T0026,16219.7,-0.0,-0.0,512.0,3984.7,-0.0,-0.0,272.8,187.5,9108.4,5566.1,-1.0,107.1,28.9,5540.9
MEM,T0027,16219.7,-0.0,-0.0,512.0,3987.9,-0.0,-0.0,272.8,187.5,9108.4,5566.1,-1.0,107.1,28.9,5540.9
MEM,T0028,16219.7,-0.0,-0.0,512.0,3990.7,-0.0,-0.0,272.8,187.5,9108.4,5566.1,-1.0,107.1,28.9,5540.9
MEM,T0029,16219.7,-0.0,-0.0,512.0,3982.2,-0.0,-0.0,272.8,187.5,9108.4,5568.0,-1.0,107.1,28.9,5541.0
MEM,T0030,16219.7,-0.0,-0.0,512.0,3985.4,-0.0,-0.0,272.8,185.9,9106.7,5568.0,-1.0,107.1,28.9,5541.0
MEM,T0031,16219.7,-0.0,-0.0,512.0,3972.3,-0.0,-0.0,272.8,185.9,9106.8,5571.7,-1.0,107.1,28.9,5541.0
MEM,T0032,16219.7,-0.0,-0.0,512.0,3978.3,-0.0,-0.0,272.8,186.4,9107.2,5571.7,-1.0,107.1,28.9,5541.0
MEM,T0033,16219.7,-0.0,-0.0,512.0,3979.2,-0.0,-0.0,272.8,186.4,9107.3,5571.7,-1.0,107.1,28.9,5541.0
MEM,T0034,16219.7,-0.0,-0.0,512.0,3975.7,-0.0,-0.0,272.8,186.4,9107.3,5572.2,-1.0,107.1,28.9,5541.0
MEM,T0035,16219.7,-0.0,-0.0,512.0,3975.5,-0.0,-0.0,272.8,185.8,9106.8,5572.2,-1.0,107.1,28.9,5541.0
