PROC,Processes raspberrypi,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
PROC,T0001,2,0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
PROC,T0002,2,0,8360.5,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0003,2,0,19450.6,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0004,2,0,6324.1,-1.0,-1.0,-1.0,0.4,-1.0,-1.0,-1.0
PROC,T0005,2,0,34102.5,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0006,2,0,18430.3,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0007,2,0,2973.4,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0008,2,0,4630.9,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0009,2,0,20139.9,-1.0,-1.0,-1.0,0.6,-1.0,-1.0,-1.0
PROC,T0010,2,0,19294.4,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0011,2,0,25617.3,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0012,2,0,29554.3,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0013,2,0,14838.1,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0014,2,0,10185.6,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0015,2,0,19918.5,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0016,2,0,17002.3,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0017,2,0,36260.5,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0018,2,0,18331.2,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0019,2,0,18493.4,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0020,2,0,32646.8,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0021,2,0,23664.9,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0022,2,0,8166.5,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0023,2,0,18293.5,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0024,2,0,18349.3,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0025,5,0,6990.9,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
PROC,T0026,5,0,1536.7,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0027,5,0,2455.2,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0028,5,0,840.5,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0029,5,0,990.4,-1.0,-1.0,-1.0,0.4,-1.0,-1.0,-1.0
PROC,T0030,5,0,1275.2,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0031,6,0,1880.8,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0032,6,0,2346.0,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0033,6,0,3686.9,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0034,5,0,1133.3,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0035,5,0,935.0,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0036,5,0,933.1,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0037,5,0,839.4,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0038,6,0,1069.4,-1.0,-1.0,-1.0,0.4,-1.0,-1.0,-1.0
PROC,T0039,5,0,824.7,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0040,5,0,873.3,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0041,5,0,887.3,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0042,6,0,1005.0,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0043,5,0,1310.9,-1.0,-1.0,-1.0,0.4,-1.0,-1.0,-1.0
PROC,T0044,5,0,929.9,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0045,5,0,822.1,-1.0,-1.0,-1.0,0.4,-1.0,-1.0,-1.0
PROC,T0046,5,0,790.2,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0047,5,0,806.2,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0048,6,0,816.2,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0049,5,0,1928.6,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0050,6,0,2046.9,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
