VM,Paging and Virtual Memory,nr_dirty,nr_writeback,nr_unstable,nr_page_table_pages,nr_mapped,nr_slab_reclaimable,pgpgin,pgpgout,pswpin,pswpout,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,pginodesteal,slabs_scanned,kswapd_steal,kswapd_inodesteal,pageoutrun,allocstall,pgrotated,pgalloc_high,pgalloc_normal,pgalloc_dma,pgrefill_high,pgrefill_normal,pgrefill_dma,pgsteal_high,pgsteal_normal,pgsteal_dma,pgscan_kswapd_high,pgscan_kswapd_normal,pgscan_kswapd_dma,pgscan_direct_high,pgscan_direct_normal,pgscan_direct_dma
VM,T0001,21,0,0,1510,28148,12892,0,4,0,0,2923,0,0,12717,0,0,0,0,0,0,0,0,0,6705,2233,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0002,31,0,0,1887,354451,12892,0,256,0,0,1491,0,0,248033,0,0,0,0,0,0,0,0,0,60960,20683,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0003,34,0,0,1887,354451,12892,0,0,0,0,3,0,0,22,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0004,36,0,0,1887,354451,12892,0,16,0,0,10,0,0,39,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0005,36,0,0,1887,354451,12892,0,32,0,0,8,0,0,23,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0006,38,0,0,1887,354451,12892,0,0,0,0,17,0,0,22,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0007,41,0,0,1887,354451,12892,0,88,0,0,14,0,0,23,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0008,21,0,0,1887,354451,12892,0,520,0,0,18,0,0,36,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0009,30,0,0,1890,354451,12892,0,152,0,0,233,0,0,297,0,0,0,0,0,0,0,0,0,263,106,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0010,21,0,0,1890,354451,12892,0,468,0,0,138,0,0,38,0,0,0,0,0,0,0,0,0,102,38,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0011,28,0,0,1890,354451,12892,0,56,0,0,269,0,0,23,0,0,0,0,0,0,0,0,0,198,73,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0012,38,1,0,1890,354451,12892,0,40,0,0,8,0,0,39,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0013,40,1,0,1890,354451,12892,0,24,0,0,9,0,0,23,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0014,51,0,0,1890,354451,12892,0,24,0,0,151,0,0,266,0,0,0,0,0,0,0,0,0,271,103,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0015,60,0,0,1887,354451,12892,0,160,0,0,146,0,0,68,0,0,0,0,0,0,0,0,0,51,9,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0016,16,0,0,1887,354451,12892,0,584,0,0,10,0,0,36,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0017,16,0,0,1887,354451,12892,0,36,0,0,64,0,0,23,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0018,21,0,0,1887,354451,12892,0,64,0,0,179,0,0,31,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0019,21,0,0,1887,354451,12892,0,16,0,0,10,0,0,19,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0020,18,0,0,1887,354451,12892,0,188,0,0,15,0,0,36,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0021,35,0,0,1887,354451,12892,0,0,0,0,258,0,0,44,0,0,0,0,0,0,0,0,0,198,69,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0022,37,0,0,1887,354451,12892,0,52,0,0,17,0,0,21,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0023,3,0,0,1887,354451,12892,0,480,0,0,138,0,0,24,0,0,0,0,0,0,0,0,0,101,39,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0024,9,0,0,1887,354451,12892,0,24,0,0,14,0,0,40,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0025,42,0,0,1890,354512,12892,0,76,0,0,1381,0,0,3420,0,0,0,0,0,0,0,0,0,2373,780,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0026,69,0,0,1890,354513,12892,0,60,0,0,480,0,0,86,0,0,0,0,0,0,0,0,0,312,197,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0027,69,0,0,1890,354513,12892,0,148,0,0,426,0,0,30,0,0,0,0,0,0,0,0,0,186,146,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0028,68,0,0,1890,354513,12892,0,24,0,0,19,0,0,35,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0029,83,0,0,1893,354513,12892,0,4,0,0,376,0,0,287,0,0,0,0,0,0,0,0,0,365,142,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0030,31,0,0,1893,354520,12892,0,792,0,0,253,0,0,55,0,0,0,0,0,0,0,0,0,101,43,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0031,13,0,0,1893,354513,12892,0,428,0,0,656,0,0,954,0,0,0,0,0,0,0,0,0,681,231,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0032,17,0,0,1893,354513,12892,0,48,0,0,145,0,0,35,0,0,0,0,0,0,0,0,0,128,48,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0033,29,0,0,1893,354513,12892,0,16,0,0,373,0,0,57,0,0,0,0,0,0,0,0,0,282,95,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0034,33,0,0,1893,354513,12892,0,140,0,0,170,0,0,30,0,0,0,0,0,0,0,0,0,130,48,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0035,40,0,0,1893,354513,12892,0,128,0,0,311,0,0,25,0,0,0,0,0,0,0,0,0,196,75,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0036,44,0,0,1893,354513,12892,0,32,0,0,143,0,0,42,0,0,0,0,0,0,0,0,0,108,41,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0037,45,0,0,1893,354513,12892,0,516,0,0,17,0,0,27,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0038,42,0,0,1893,354513,12892,0,72,0,0,232,0,0,220,0,0,0,0,0,0,0,0,0,220,94,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0039,49,0,0,1893,354513,12892,0,112,0,0,21,0,0,20,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0040,48,0,0,1893,354513,12892,0,32,0,0,10,0,0,35,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0041,57,0,0,1893,354513,12892,0,16,0,0,8,0,0,32,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0042,55,0,0,1890,354513,12892,0,264,0,0,182,0,0,68,0,0,0,0,0,0,0,0,0,59,21,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0043,63,0,0,1893,354521,12892,0,168,0,0,704,0,0,569,0,0,0,0,0,0,0,0,0,688,259,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0044,72,0,0,1890,354513,12892,0,48,0,0,121,0,0,24,0,0,0,0,0,0,0,0,0,11,13,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0045,12,0,0,1890,354513,12892,0,800,0,0,178,0,0,25,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0046,18,0,0,1890,354513,12892,0,52,0,0,11,0,0,22,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0047,19,0,0,1890,354513,12892,0,12,0,0,9,0,0,20,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0048,23,0,0,1890,354513,12892,0,16,0,0,8,0,0,40,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0049,25,0,0,1892,354513,12892,0,192,0,0,1492,0,0,3810,0,0,0,0,0,0,0,0,0,2780,919,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0050,38,0,0,1892,354513,12892,0,164,0,0,251,0,0,60,0,0,0,0,0,0,0,0,0,187,66,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0051,21,0,0,1892,354513,12892,0,356,0,0,21,0,0,20,0,0,0,0,0,0,0,0,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0052,8,0,0,1892,354513,12892,8,92,0,0,11,0,0,40,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0053,13,0,0,1892,354513,12892,0,12,0,0,13,0,0,24,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0054,26,0,0,1892,354513,12892,0,292,0,0,50,0,0,54,0,0,0,0,0,0,0,0,0,32,23,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0055,26,0,0,1892,354513,12892,0,44,0,0,16,0,0,20,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0056,22,0,0,1892,354513,12892,0,124,0,0,13,0,0,36,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0057,44,0,0,1895,354513,12892,0,40,0,0,260,0,0,313,0,0,0,0,0,0,0,0,0,279,115,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0058,22,0,0,1895,354513,12892,0,436,0,0,48,0,0,27,0,0,0,0,0,0,0,0,0,26,17,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0059,20,0,0,1895,354513,12892,0,96,0,0,466,0,0,329,0,0,0,0,0,0,0,0,0,508,175,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0060,34,0,0,1895,354513,12892,0,52,0,0,94,0,0,120,0,0,0,0,0,0,0,0,0,63,114,0,0,0,0,0,0,0,0,0,0,0,0
