CPU_ALL,CPU Total raspberrypi,User%,Sys%,Wait%,Idle%,Steal%,Busy,CPUs
CPU_ALL,T0001,9.3,0.9,0.0,89.8,0.0,,4
CPU_ALL,T0002,15.2,1.3,0.0,83.5,0.0,,4
CPU_ALL,T0003,21.4,0.8,0.0,77.8,0.0,,4
CPU_ALL,T0004,12.4,0.8,0.1,86.7,0.0,,4
CPU_ALL,T0005,9.9,0.3,0.1,89.7,0.0,,4
CPU_ALL,T0006,14.5,0.5,0.1,85.0,0.0,,4
CPU_ALL,T0007,15.8,1.5,2.3,80.5,0.0,,4
CPU_ALL,T0008,11.3,11.3,0.0,77.4,0.0,,4
CPU_ALL,T0009,20.9,26.8,0.1,52.3,0.0,,4
CPU_ALL,T0010,17.0,26.0,0.0,57.0,0.0,,4
CPU_ALL,T0011,17.4,25.9,0.1,56.5,0.0,,4
CPU_ALL,T0012,21.0,25.9,0.0,53.1,0.0,,4
CPU_ALL,T0013,16.1,25.2,0.0,58.8,0.0,,4
CPU_ALL,T0014,16.8,25.3,1.1,56.9,0.0,,4
CPU_ALL,T0015,41.8,25.5,0.0,32.7,0.0,,4
CPU_ALL,T0016,24.8,25.5,0.1,49.5,0.0,,4
CPU_ALL,T0017,28.8,25.0,0.1,46.2,0.0,,4
CPU_ALL,T0018,26.9,24.6,0.0,48.4,0.0,,4
CPU_ALL,T0019,44.0,23.3,0.1,32.7,0.0,,4
CPU_ALL,T0020,27.0,14.5,0.0,58.5,0.0,,4
CPU_ALL,T0021,42.3,0.8,0.0,56.9,0.0,,4
CPU_ALL,T0022,24.9,1.6,0.1,73.5,0.0,,4
CPU_ALL,T0023,32.3,1.8,0.0,65.8,0.0,,4
CPU_ALL,T0024,43.3,1.4,0.1,55.3,0.0,,4
CPU_ALL,T0025,28.1,1.9,0.0,70.0,0.0,,4
CPU_ALL,T0026,29.7,1.8,0.0,68.5,0.0,,4
CPU_ALL,T0027,29.5,1.1,0.0,69.3,0.0,,4
CPU_ALL,T0028,28.8,1.2,0.1,69.9,0.0,,4
CPU_ALL,T0029,29.0,1.4,0.0,69.6,0.0,,4
CPU_ALL,T0030,26.0,0.4,0.0,73.6,0.0,,4
CPU_ALL,T0031,41.3,0.3,0.1,58.3,0.0,,4
CPU_ALL,T0032,28.8,0.7,0.0,70.4,0.0,,4
CPU_ALL,T0033,36.8,0.9,0.0,62.4,0.0,,4
CPU_ALL,T0034,8.4,0.2,0.2,91.2,0.0,,4
CPU_ALL,T0035,8.9,0.6,0.0,90.5,0.0,,4
CPU_ALL,T0036,7.8,0.3,0.2,91.7,0.0,,4
CPU_ALL,T0037,9.7,0.3,0.0,89.9,0.0,,4
CPU_ALL,T0038,9.5,0.0,0.0,90.5,0.0,,4
CPU_ALL,T0039,8.9,0.1,0.0,91.0,0.0,,4
CPU_ALL,T0040,9.3,0.5,0.0,90.1,0.0,,4
CPU_ALL,T0041,9.4,0.4,0.0,90.2,0.0,,4
CPU_ALL,T0042,8.7,0.1,0.1,91.1,0.0,,4
CPU_ALL,T0043,9.1,0.4,0.0,90.5,0.0,,4
CPU_ALL,T0044,9.4,0.2,0.2,90.1,0.0,,4
CPU_ALL,T0045,8.6,0.2,0.0,91.3,0.0,,4
CPU_ALL,T0046,8.9,0.3,0.0,90.8,0.0,,4
CPU_ALL,T0047,9.6,0.4,0.0,90.0,0.0,,4
CPU_ALL,T0048,9.0,0.1,0.1,90.8,0.0,,4
CPU_ALL,T0049,9.0,0.2,0.2,90.7,0.0,,4
CPU_ALL,T0050,21.9,0.3,0.1,77.7,0.0,,4
CPU_ALL,T0051,8.7,0.2,0.2,91.0,0.0,,4
CPU_ALL,T0052,9.5,0.2,0.0,90.3,0.0,,4
CPU_ALL,T0053,9.6,0.2,0.0,90.1,0.0,,4
CPU_ALL,T0054,30.6,1.1,0.1,68.2,0.0,,4
CPU_ALL,T0055,8.3,0.3,0.1,91.4,0.0,,4
CPU_ALL,T0056,7.6,0.8,0.0,91.6,0.0,,4
CPU_ALL,T0057,7.0,0.4,0.1,92.6,0.0,,4
CPU_ALL,T0058,7.5,0.1,0.0,92.4,0.0,,4
CPU_ALL,T0059,7.8,0.5,0.1,91.6,0.0,,4
CPU_ALL,T0060,6.9,0.3,0.1,92.8,0.0,,4
