DISKBUSY,Disk %Busy raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKREAD,Disk Read KB/s raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKWRITE,Disk Write KB/s raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKXFER,Disk transfers per second raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKBSIZE,Disk Block Size raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
DISKBUSY,T0001,0.0,0.0,0.0
DISKREAD,T0001,0.0,0.0,0.0
DISKWRITE,T0001,0.0,0.0,0.0
DISKXFER,T0001,0.0,0.0,0.0
DISKBSIZE,T0001,0.0,0.0,0.0
DISKBUSY,T0002,1.2,0.0,1.2
DISKREAD,T0002,0.0,0.0,0.0
DISKWRITE,T0002,180.6,0.0,180.6
DISKXFER,T0002,5.0,0.0,5.0
DISKBSIZE,T0002,36.2,0.0,36.2
DISKBUSY,T0003,0.6,0.0,0.4
DISKREAD,T0003,0.0,0.0,0.0
DISKWRITE,T0003,32.0,0.0,32.0
DISKXFER,T0003,3.4,0.0,3.4
DISKBSIZE,T0003,9.4,0.0,9.4
DISKBUSY,T0004,0.2,0.0,0.4
DISKREAD,T0004,0.0,0.0,0.0
DISKWRITE,T0004,36.8,0.0,36.8
DISKXFER,T0004,2.2,0.0,2.2
DISKBSIZE,T0004,16.7,0.0,16.7
DISKBUSY,T0005,0.8,0.0,0.8
DISKREAD,T0005,0.0,0.0,0.0
DISKWRITE,T0005,52.0,0.0,52.0
DISKXFER,T0005,4.8,0.0,4.8
DISKBSIZE,T0005,10.8,0.0,10.8
DISKBUSY,T0006,0.2,0.0,0.2
DISKREAD,T0006,4.0,0.0,4.0
DISKWRITE,T0006,11.2,0.0,11.2
DISKXFER,T0006,0.8,0.0,0.8
DISKBSIZE,T0006,19.0,0.0,19.0
DISKBUSY,T0007,11.4,0.0,11.4
DISKREAD,T0007,305.6,0.0,305.6
DISKWRITE,T0007,1754.9,0.0,1754.9
DISKXFER,T0007,82.8,0.0,82.8
DISKBSIZE,T0007,24.9,0.0,24.9
DISKBUSY,T0008,1.4,0.0,1.6
DISKREAD,T0008,0.0,0.0,0.0
DISKWRITE,T0008,256.8,0.0,256.8
DISKXFER,T0008,6.4,0.0,6.4
DISKBSIZE,T0008,40.1,0.0,40.1
DISKBUSY,T0009,0.2,0.0,0.2
DISKREAD,T0009,0.0,0.0,0.0
DISKWRITE,T0009,25.6,0.0,25.6
DISKXFER,T0009,1.2,0.0,1.2
DISKBSIZE,T0009,21.3,0.0,21.3
DISKBUSY,T0010,2.2,0.0,2.2
DISKREAD,T0010,0.0,0.0,0.0
DISKWRITE,T0010,94.4,0.0,94.4
DISKXFER,T0010,12.2,0.0,12.2
DISKBSIZE,T0010,7.7,0.0,7.7
DISKBUSY,T0011,0.6,0.0,0.8
DISKREAD,T0011,0.0,0.0,0.0
DISKWRITE,T0011,44.8,0.0,44.8
DISKXFER,T0011,4.6,0.0,4.6
DISKBSIZE,T0011,9.7,0.0,9.7
DISKBUSY,T0012,0.2,0.0,0.0
DISKREAD,T0012,0.0,0.0,0.0
DISKWRITE,T0012,41.6,0.0,41.6
DISKXFER,T0012,0.6,0.0,0.6
DISKBSIZE,T0012,69.3,0.0,69.3
DISKBUSY,T0013,0.2,0.0,0.2
DISKREAD,T0013,0.0,0.0,0.0
DISKWRITE,T0013,24.0,0.0,24.0
DISKXFER,T0013,1.0,0.0,1.0
DISKBSIZE,T0013,24.0,0.0,24.0
DISKBUSY,T0014,28.0,0.0,28.8
DISKREAD,T0014,0.0,0.0,0.0
DISKWRITE,T0014,11782.6,0.0,11782.6
DISKXFER,T0014,17.6,0.0,17.6
DISKBSIZE,T0014,669.8,0.0,669.8
DISKBUSY,T0015,0.2,0.0,0.2
DISKREAD,T0015,0.0,0.0,0.0
DISKWRITE,T0015,15.2,0.0,15.2
DISKXFER,T0015,0.8,0.0,0.8
DISKBSIZE,T0015,19.0,0.0,19.0
DISKBUSY,T0016,0.0,0.0,0.2
DISKREAD,T0016,0.0,0.0,0.0
DISKWRITE,T0016,30.4,0.0,30.4
