MEM,Memory MB raspberrypi,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
MEM,T0001,16219.7,-0.0,-0.0,512.0,1321.2,-0.0,-0.0,498.0,275.5,11408.6,4369.8,-1.0,130.8,0.0,9802.6
MEM,T0002,16219.7,-0.0,-0.0,512.0,1293.8,-0.0,-0.0,498.0,288.2,11421.4,4384.8,-1.0,130.8,0.0,9802.6
MEM,T0003,16219.7,-0.0,-0.0,512.0,1325.9,-0.0,-0.0,498.0,273.5,11406.7,4369.3,-1.0,130.8,0.0,9802.6
MEM,T0004,16219.7,-0.0,-0.0,512.0,1297.6,-0.0,-0.0,498.0,288.4,11421.6,4387.4,-1.0,130.8,0.0,9802.6
MEM,T0005,16219.7,-0.0,-0.0,512.0,1316.1,-0.0,-0.0,498.0,279.6,11412.7,4372.6,-1.0,130.8,0.0,9802.6
MEM,T0006,16219.7,-0.0,-0.0,512.0,1299.0,-0.0,-0.0,498.0,272.1,11405.3,4398.5,-1.0,130.8,0.0,9802.6
MEM,T0007,16219.7,-0.0,-0.0,512.0,1192.5,-0.0,-0.0,498.0,272.3,11409.2,4377.1,-1.0,130.8,0.0,9806.4
MEM,T0008,16219.7,-0.0,-0.0,512.0,704.7,-0.0,-0.0,498.0,271.6,11408.5,4904.4,-1.0,130.8,0.0,9806.4
MEM,T0009,16219.7,-0.0,-0.0,512.0,654.9,-0.0,-0.0,498.0,296.4,11433.3,4980.2,-1.0,130.8,0.0,9806.4
MEM,T0010,16219.7,-0.0,-0.0,512.0,372.5,-0.0,-0.0,498.0,291.6,11348.2,4968.6,-1.0,130.2,0.0,9722.9
MEM,T0011,16219.7,-0.0,-0.0,512.0,711.9,-0.0,-0.0,498.0,285.0,11341.6,4695.4,-1.0,130.2,0.0,9722.9
MEM,T0012,16219.7,-0.0,-0.0,512.0,817.5,-0.0,-0.0,498.0,281.4,11338.0,4616.6,-1.0,130.2,0.0,9722.9
MEM,T0013,16219.7,-0.0,-0.0,512.0,776.8,-0.0,-0.0,498.0,276.3,11332.9,4924.4,-1.0,130.2,0.0,9722.9
