PROC,Processes raspberrypi,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
PROC,T0001,2,0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
PROC,T0002,1,0,3677.3,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0003,1,0,1817.5,-1.0,-1.0,-1.0,0.4,-1.0,-1.0,-1.0
PROC,T0004,1,0,3517.0,-1.0,-1.0,-1.0,0.6,-1.0,-1.0,-1.0
PROC,T0005,1,0,2546.6,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0006,1,0,1790.9,-1.0,-1.0,-1.0,1.6,-1.0,-1.0,-1.0
PROC,T0007,1,0,3489.6,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0
PROC,T0008,3,0,1852.5,-1.0,-1.0,-1.0,0.6,-1.0,-1.0,-1.0
PROC,T0009,2,0,2546.6,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0010,2,0,1728.2,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0011,3,0,1712.8,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0012,3,0,2196.6,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0013,3,0,1474.6,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0014,4,0,1766.9,-1.0,-1.0,-1.0,0.6,-1.0,-1.0,-1.0
PROC,T0015,3,0,2763.3,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0016,3,0,1375.6,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0017,3,0,979.3,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0018,3,0,716.2,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0019,3,0,837.4,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0020,2,0,757.1,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0021,4,0,2113.2,-1.0,-1.0,-1.0,0.4,-1.0,-1.0,-1.0
PROC,T0022,2,0,4386.8,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0023,2,0,4147.1,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0024,2,0,4055.1,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0025,2,0,4162.1,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0026,2,0,4067.3,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0027,2,0,4061.5,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0028,2,0,4037.9,-1.0,-1.0,-1.0,0.4,-1.0,-1.0,-1.0
PROC,T0029,3,0,3841.9,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0030,2,0,1370.9,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0031,4,0,1100.7,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0032,2,0,799.0,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0033,2,0,1138.8,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0034,2,0,1559.5,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
PROC,T0035,1,0,1678.7,-1.0,-1.0,-1.0,0.2,-1.0,-1.0,-1.0
