VM,Paging and Virtual Memory,nr_dirty,nr_writeback,nr_unstable,nr_page_table_pages,nr_mapped,nr_slab_reclaimable,pgpgin,pgpgout,pswpin,pswpout,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,pginodesteal,slabs_scanned,kswapd_steal,kswapd_inodesteal,pageoutrun,allocstall,pgrotated,pgalloc_high,pgalloc_normal,pgalloc_dma,pgrefill_high,pgrefill_normal,pgrefill_dma,pgsteal_high,pgsteal_normal,pgsteal_dma,pgscan_kswapd_high,pgscan_kswapd_normal,pgscan_kswapd_dma,pgscan_direct_high,pgscan_direct_normal,pgscan_direct_dma
VM,T0001,73,0,0,1410,28484,26377,0,0,0,0,2637,0,0,3567,0,0,0,0,0,0,0,0,0,1596,350,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0002,65,0,0,1410,28556,26377,0,904,0,0,1402,0,0,1655,0,0,0,0,0,0,0,0,0,2102,725,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0003,49,0,0,1410,28493,26377,0,160,0,0,2563,0,0,397,0,0,0,0,0,0,0,0,0,351,123,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0004,72,1,0,1414,28547,26377,0,184,0,0,1656,0,0,1815,0,0,0,0,0,0,0,0,0,2201,762,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0005,78,0,0,1414,28511,26377,0,260,0,0,1805,0,0,187,0,0,0,0,0,0,0,0,0,487,169,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0006,89,0,0,1443,32313,26377,20,56,0,0,1164,0,0,3956,0,0,0,0,0,0,0,0,0,1812,556,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0007,3766,0,0,1427,28655,26381,1528,8776,0,0,19999,0,0,27546,2,0,0,0,0,1,0,0,0,13933,4479,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0008,3720,0,0,1454,28657,26381,0,1284,0,0,578497,0,0,610126,0,0,0,0,0,1,0,0,0,457882,152630,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0009,3744,0,0,1456,28727,26381,0,128,0,0,1384132,0,0,1387323,0,0,0,0,0,0,0,0,0,1042236,347410,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0010,3692,0,0,1454,28659,26378,0,472,0,1,1392409,0,0,1381953,0,0,2560,0,37,12,0,1,0,1037460,345748,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0011,3693,0,0,1446,28656,26378,0,224,0,0,1383956,0,0,1365356,0,0,0,0,0,0,0,0,0,1024712,341580,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0012,3691,0,0,1443,28658,26378,0,256,0,0,1307395,0,0,1300668,0,0,0,0,0,0,0,0,0,976432,325492,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0013,3694,0,0,1454,28656,26378,0,72,0,0,1306805,0,0,1325417,0,0,0,0,0,0,0,0,0,994660,331561,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0014,33,0,0,1451,28656,26378,0,58944,0,0,1308415,0,0,1299759,0,0,0,0,0,0,0,0,0,975469,325172,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0015,64,0,0,1448,28662,26378,0,76,0,0,1084975,0,0,1071833,0,0,0,0,0,4,0,0,0,805121,268407,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0016,74,0,0,1442,28659,26378,0,152,0,0,1347953,0,0,1338327,0,0,0,0,0,0,0,0,0,1004727,334922,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0017,55,0,0,1448,28659,26378,0,216,0,0,1309384,0,0,1323087,0,0,0,0,0,0,0,0,0,993238,331103,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0018,55,0,0,1438,28659,26378,0,12,0,0,1345589,0,0,1329295,0,0,0,0,0,0,0,0,0,997303,332439,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0019,57,0,0,1452,28659,26378,0,20,0,0,1181033,0,0,1174747,0,0,512,0,0,8,0,0,0,881362,293756,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0020,6,0,0,1423,28657,26378,0,844,0,0,820850,0,0,806444,0,0,0,0,0,0,0,0,0,605295,201768,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0021,21,0,0,1423,28663,26378,0,940,0,0,7732,0,0,6874,0,0,0,0,0,1,0,0,0,6052,2091,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0022,6,0,0,1423,28659,26378,0,732,0,0,6725,0,0,2637,0,0,0,0,0,0,0,0,0,2265,788,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0023,33,0,0,1423,28659,26377,0,124,0,0,2558,0,0,88,0,0,0,0,0,0,0,0,0,277,97,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0024,46,0,0,1423,28662,26377,0,76,0,0,3021,0,0,3377,0,0,0,0,0,0,0,0,0,2876,994,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0025,49,0,0,1423,28662,26377,0,56,0,0,695,0,0,24,0,0,0,0,0,0,0,0,0,237,83,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0026,56,0,0,1423,28662,26377,0,24,0,0,4110,0,0,27,0,0,0,0,0,0,0,0,0,229,82,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0027,58,0,0,1423,28662,26377,0,16,0,0,437,0,0,19,0,0,0,0,0,0,0,0,0,329,111,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0028,77,0,0,1427,28662,26377,0,148,0,0,2879,0,0,312,0,0,0,0,0,0,0,0,0,516,189,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0029,33,0,0,1427,28662,26377,0,960,0,0,868,0,0,49,0,0,0,0,0,0,0,0,0,240,81,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0030,39,0,0,1427,28662,26377,0,92,0,0,618,0,0,718,0,0,0,0,0,0,0,0,0,1065,357,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0031,48,0,0,1427,28658,26377,0,4,0,0,4677,0,0,3180,0,0,0,0,0,0,0,0,0,2728,950,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0032,57,0,0,1427,28658,26377,0,92,0,0,838,0,0,158,0,0,0,0,0,0,0,0,0,107,47,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0033,170,0,0,1427,28654,26377,0,332,0,0,13418,0,0,9794,0,0,0,0,0,0,0,0,0,8198,2754,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0034,175,0,0,1423,28654,26377,0,240,0,0,1206,0,0,163,0,0,0,0,0,0,0,0,0,134,54,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0035,138,0,0,1423,28654,26377,0,772,0,0,2001,0,0,40,0,0,0,0,0,0,0,0,0,19,12,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0036,10,0,0,1423,28654,26377,0,2356,0,0,559,0,0,73,0,0,0,0,0,0,0,0,0,28,15,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0037,49,0,0,1427,28654,26377,0,56,0,0,350,0,0,347,0,0,0,0,0,0,0,0,0,410,150,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0038,52,0,0,1427,28654,26377,0,40,0,0,44,0,0,57,0,0,0,0,0,0,0,0,0,29,23,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0039,52,0,0,1427,28654,26377,0,8,0,0,1056,0,0,33,0,0,0,0,0,0,0,0,0,23,6,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0040,55,0,0,1427,28654,26377,0,44,0,0,55,0,0,99,0,0,0,0,0,0,0,0,0,51,21,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0041,63,0,0,1427,28654,26377,0,20,0,0,347,0,0,98,0,0,0,0,0,0,0,0,0,37,20,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0042,30,0,0,1427,28654,26377,0,956,0,0,1499,0,0,185,0,0,0,0,0,0,0,0,0,106,46,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0043,9,0,0,1427,28654,26377,0,424,0,0,105,0,0,115,0,0,0,0,0,0,0,0,0,54,26,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0044,20,0,0,1427,28654,26377,0,332,0,0,30,0,0,124,0,0,0,0,0,0,0,0,0,47,22,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0045,28,0,0,1427,28654,26377,0,476,0,0,66,0,0,159,0,0,0,0,0,0,0,0,0,77,29,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0046,33,0,0,1427,28654,26377,0,20,0,0,560,0,0,89,0,0,0,0,0,0,0,0,0,41,16,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0047,14,0,0,1423,28654,26377,0,600,0,0,464,0,0,148,0,0,0,0,0,0,0,0,0,91,23,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0048,12,0,0,1423,28654,26377,0,372,0,0,1440,0,0,120,0,0,0,0,0,0,0,0,0,43,21,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0049,19,0,0,1423,28654,26377,0,496,0,0,68,0,0,551,0,0,0,0,0,0,0,0,0,359,121,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0050,19,0,0,1423,28654,26377,0,324,0,0,578,0,0,413,0,0,0,0,0,0,0,0,0,289,112,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0051,11,0,0,1423,28654,26377,0,292,0,0,36,0,0,46,0,0,0,0,0,0,0,0,0,19,9,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0052,35,0,0,1427,28654,26377,0,580,0,0,949,0,0,429,0,0,0,0,0,0,0,0,0,531,197,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0053,57,0,0,1427,28654,26377,0,76,0,0,178,0,0,92,0,0,0,0,0,0,0,0,0,125,44,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0054,67,0,0,1427,28718,26377,0,152,0,0,991,0,0,657,0,0,0,0,0,0,0,0,0,1194,423,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0055,78,0,0,1427,28655,26377,0,120,0,0,2566,0,0,47,0,0,0,0,0,0,0,0,0,57,21,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0056,78,0,0,1427,28655,26377,0,44,0,0,354,0,0,46,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0057,84,0,0,1427,28655,26377,0,240,0,0,249,0,0,98,0,0,0,0,0,0,0,0,0,144,53,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0058,17,1,0,1423,28655,26377,0,1184,0,0,215,0,0,120,0,0,0,0,0,0,0,0,0,67,23,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0059,35,0,0,1423,28655,26377,0,80,0,0,456,0,0,47,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0060,19,0,0,1423,28656,26377,0,548,0,0,493,0,0,81,0,0,0,0,0,0,0,0,0,18,11,0,0,0,0,0,0,0,0,0,0,0,0
